,CompW_0,CompW_1,CompW_10,CompW_11,CompW_12,CompW_13,CompW_14,CompW_15,CompW_16,CompW_17,CompW_18,CompW_19,CompW_2,CompW_20,CompW_21,CompW_22,CompW_23,CompW_24,CompW_25,CompW_3,CompW_4,CompW_5,CompW_6,CompW_7,CompW_8,CompW_9,Date
0,0.0,0.03978645972863482,0.00613372515541992,0.11230885264710115,0.16824262393649586,0.018128750168635473,0.05023691583793105,-3.675294542236518e-14,0.040065426078049506,4.115819862402723e-09,0.00819531295937862,0.010730297405266716,0.004742067778368737,0.04999999999999554,-0.01759190460406979,-0.026792871068349922,0.0,-0.09999999998901982,-0.04999999999970923,0.16117756915795212,0.029703403536097864,0.0,-0.040556079501960086,0.03984185271394128,-5.52289080082987e-14,0.0,2000-07-10
0,0.0,0.0969166025449781,6.163649830764324e-10,-0.03618370458036831,8.548284839169462e-14,0.03713164093349884,0.11527387662846349,-2.9864938577574513e-15,0.11986653541137152,0.025266875072107363,0.08464661877309332,0.019365858640922547,-0.00833294406242871,0.04999999999999653,-6.302031669438835e-10,0.026571619524454138,0.0,-0.09999999999991435,-0.030860433709741685,0.11721607883709803,0.008247568519370809,0.0,-7.186783537711592e-14,0.09209411519747053,1.1440289948278981e-07,0.0,2000-08-04
0,0.0,0.007189274098058908,0.04884535756219474,-7.369002062218217e-12,1.0213682446731632e-12,1.8768944210097658e-12,0.17485110781985552,-0.08469635307236123,0.003393440094167212,0.03051396066031346,0.09999999999039616,-4.3811061625548954e-11,-8.159856179234991e-12,0.049999999999545325,0.018822283108592117,0.11479378357534571,0.0,-0.05311945856718689,-0.04999999999975329,0.04241187321537226,-0.0030572678672013934,0.0,0.047392498410607796,0.08958223453582394,0.06939758689814562,0.0,2000-09-07
0,0.0,0.04720615798385593,-0.009759036151466597,3.6761538526376635e-11,-6.06263343798192e-12,0.007004722374519724,0.1999999999992487,-0.08154860309015781,0.015594494479333572,0.01323010794816833,0.02885353590285894,0.043419451904119055,-0.02053888052924407,0.04999999999908045,8.506880730014806e-10,0.07081602047217712,0.0,-0.036093339192771676,-0.003908191123970256,0.04590377555986403,0.0018586416953626115,0.0,0.19999999999172718,0.005123533437668928,0.06248854296566314,0.0,2000-10-05
0,0.0,0.11367114451682343,-5.329319671374986e-14,-4.0293652979168393e-13,1.0405144251616431e-15,1.26178112914213e-13,2.5987733923519387e-13,-3.242954599010853e-14,2.6498430363323817e-13,-8.162740876789118e-14,0.03661241601700255,0.038082460835053976,-2.9343919857746296e-14,3.6047536844164666e-13,3.4027473084200995e-14,0.07169673623498071,0.0,-9.022143739838887e-15,0.04999999999996571,0.0651758013354722,-6.60326861873178e-05,0.0,0.19110834326998263,0.1580974010366328,0.19999999999978013,0.0,2000-11-06
0,0.0,0.06859069609230166,-8.696828225406882e-14,-1.13611619977836e-13,3.0285530487053224e-15,1.2299421227514548e-13,1.7545831159242024e-12,1.0652795156084516e-14,0.022699930497521087,0.03032097461578054,0.06503905817725683,1.1810410546748655e-14,-0.06643534946202011,0.0499999999999673,-1.676209254254182e-13,0.07152816569055293,0.0,0.053627591410562676,0.049999999999995014,-0.012506084666894082,-0.0008749684541925009,0.0,0.19999925554466194,0.09086198887600005,0.19999999999993984,0.0,2000-12-06
0,0.0,0.05324427883585295,-0.0052173273461637235,0.029690049313716438,-8.375921568318993e-12,2.2772078254451423e-11,0.03815504237785665,2.460939850429064e-11,0.05101360264006763,1.2340007177663564e-10,0.037258625862711406,-0.09999999999847954,-0.047531907815121656,0.04999999999893511,-0.029545918932213984,0.06541510125696134,0.0,0.09999999999910314,0.049999999999768514,-0.031690908649336345,0.03191536302043288,0.0,0.03845898688123965,-8.150753471265489e-13,0.19999999999824022,0.0,2001-01-05
0,0.0,0.12526685535852505,-0.06212043018623394,0.041544649381282446,-2.3361737248736593e-12,1.846889655340981e-12,0.06521191808165401,-6.857974042926846e-11,0.10090009692539509,2.7994772774778996e-12,0.07145856175356462,-0.00560835921096106,0.012493361967156634,-9.666038592665683e-10,-0.06399312155999022,0.05308198162772176,0.0,2.4601905434433688e-12,0.049999999999956087,-0.015954672530677762,0.003559284391481063,0.0,-1.9910957152647876e-12,-0.1132448281625309,0.08477558612016599,0.0,2001-02-06
0,0.0,0.08469496482629106,-0.04574567722301692,-0.11118118666642611,-1.6159840504471422e-11,-8.256136285179641e-13,0.10233711106322692,-0.0864740811880064,0.14999999999871858,6.045071131530121e-12,0.09999999999864392,4.533147101802998e-12,0.013447692771146168,-0.04999999999950295,-0.031457005594993426,0.029765912965394402,0.0,-1.0903328265786403e-12,0.04999999999987847,-0.01869288730924103,0.011168794170125684,0.0,0.013131107066063527,-4.992870075396199e-10,0.021993452826262663,0.0,2001-03-06
0,0.0,0.03216206702370286,-0.03734481495251527,-2.699389463990889e-11,-0.03741879305050506,-1.6121131385833645e-11,0.14154518158603138,-0.12421712658753749,0.13088248496696886,3.428960413605662e-11,0.09999999999547367,0.00971461247608614,-0.037761671923193615,8.368218552702694e-11,-0.0367278319082634,0.006948661759854661,0.0,6.564671549998506e-12,0.04999999999820179,-0.009978946377057783,0.04261894233453427,0.0,2.8044504927122765e-11,-3.6923984248889915e-11,0.15668716942552938,0.0,2001-04-05
